t=1655301841.5035675;temp=89.3125;heater=1.8721587053686382;scale=-0.038089079559000004;pressure=4.095;pump=0;stage=2;
t=1655301841.558785;temp=89.3125;heater=1.8721587053686382;scale=-0.029522860863000003;pressure=4.095;pump=0;stage=2;
t=1655301841.605118;temp=89.3125;heater=1.8721587053686382;scale=-0.029522860863000003;pressure=4.095;pump=0;stage=2;
t=1655301841.660101;temp=89.25;heater=1.8721587053686382;scale=-0.034111906593;pressure=4.095;pump=0;stage=2;
t=1655301841.706789;temp=89.25;heater=1.8721587053686382;scale=-0.034111906593;pressure=4.095;pump=0;stage=2;
t=1655301841.7513013;temp=89.25;heater=1.8721587053686382;scale=-0.034111906593;pressure=4.095;pump=0;stage=2;
t=1655301841.806612;temp=89.25;heater=1.8721587053686382;scale=-0.033500033829000006;pressure=4.095;pump=0;stage=2;
t=1655301841.8532534;temp=89.25;heater=1.8721587053686382;scale=-0.033500033829000006;pressure=4.095;pump=0;stage=2;
t=1655301841.9106011;temp=89.25;heater=2.856712207146104;scale=-0.034876747548000006;pressure=4.0840000000000005;pump=0;stage=2;
t=1655301841.9571266;temp=89.25;heater=2.856712207146104;scale=-0.034876747548000006;pressure=4.0840000000000005;pump=0;stage=2;
t=1655301842.000369;temp=89.25;heater=2.856712207146104;scale=-0.034876747548000006;pressure=4.0840000000000005;pump=0;stage=2;
t=1655301842.0568016;temp=89.25;heater=2.856712207146104;scale=-0.027228337998000004;pressure=4.08;pump=0;stage=2;
t=1655301842.1022372;temp=89.25;heater=2.856712207146104;scale=-0.027228337998000004;pressure=4.08;pump=0;stage=2;
t=1655301842.159104;temp=89.1875;heater=2.856712207146104;scale=-0.029828797245000004;pressure=4.087;pump=0;stage=2;
t=1655301842.204292;temp=89.1875;heater=2.856712207146104;scale=-0.029828797245000004;pressure=4.087;pump=0;stage=2;
t=1655301842.260994;temp=89.125;heater=2.856712207146104;scale=-0.028299115335000003;pressure=4.095;pump=0;stage=3;
t=1655301842.3065686;temp=89.125;heater=2.856712207146104;scale=-0.028299115335000003;pressure=4.095;pump=60;stage=3;
t=1655301842.352704;temp=89.125;heater=2.856712207146104;scale=-0.028299115335000003;pressure=4.095;pump=63.749587535858154;stage=3;
t=1655301842.4077005;temp=89.125;heater=2.856712207146104;scale=-0.045431552727;pressure=4.095;pump=67.50185871124268;stage=3;
t=1655301842.4547327;temp=89.125;heater=2.856712207146104;scale=-0.045431552727;pressure=4.095;pump=71.28991174697876;stage=3;
t=1655301842.5104694;temp=89.125;heater=2.856712207146104;scale=-0.024168974178000003;pressure=4.095;pump=75.13291549682617;stage=3;
t=1655301842.5579803;temp=89.125;heater=2.856712207146104;scale=-0.024168974178000003;pressure=4.095;pump=78.97547197341919;stage=3;
t=1655301842.6027367;temp=89.125;heater=2.856712207146104;scale=-0.024168974178000003;pressure=4.095;pump=78.97547197341919;stage=3;
t=1655301842.6591678;temp=89.125;heater=2.856712207146104;scale=-0.025086783324000002;pressure=4.095;pump=82.79962635040283;stage=3;
t=1655301842.7055333;temp=89.0625;heater=2.856712207146104;scale=-0.025086783324000002;pressure=4.095;pump=86.68189430236816;stage=3;
t=1655301842.7514846;temp=89.0625;heater=2.856712207146104;scale=-0.025086783324000002;pressure=4.095;pump=90.47133708000183;stage=3;
t=1655301842.8068767;temp=89.0625;heater=2.856712207146104;scale=-0.031205510964000004;pressure=4.095;pump=94.23855996131897;stage=3;
t=1655301842.8540478;temp=89.0625;heater=2.856712207146104;scale=-0.031205510964000004;pressure=4.095;pump=98.05059003829956;stage=3;
t=1655301842.9010746;temp=89.0625;heater=3.713572836774185;scale=-0.031205510964000004;pressure=4.095;pump=101.98062038421631;stage=3;
t=1655301842.957356;temp=89.0625;heater=3.713572836774185;scale=-0.027993178953000002;pressure=4.095;pump=105.68062448501587;stage=3;
t=1655301843.0031013;temp=89.0625;heater=3.713572836774185;scale=-0.027993178953000002;pressure=4.095;pump=105.68062448501587;stage=3;
t=1655301843.0593452;temp=89.0625;heater=3.713572836774185;scale=-0.031817383728000005;pressure=4.095;pump=109.61364197731018;stage=3;
t=1655301843.106097;temp=89.0;heater=3.713572836774185;scale=-0.031817383728000005;pressure=4.095;pump=113.50675630569458;stage=3;
t=1655301843.1511045;temp=89.0;heater=3.713572836774185;scale=-0.031817383728000005;pressure=4.095;pump=117.29276466369629;stage=3;
t=1655301843.2075064;temp=89.0;heater=3.713572836774185;scale=-0.03518268393;pressure=4.095;pump=121.04487609863281;stage=3;
t=1655301843.2534316;temp=89.0;heater=3.713572836774185;scale=-0.03518268393;pressure=4.095;pump=124.87535619735718;stage=3;
t=1655301843.3104239;temp=89.0625;heater=3.713572836774185;scale=-0.031970351919;pressure=4.095;pump=127;stage=4;
t=1655301843.3574684;temp=89.0625;heater=3.713572836774185;scale=-0.031970351919;pressure=4.095;pump=127;stage=4;
t=1655301843.403879;temp=89.0;heater=3.713572836774185;scale=-0.031970351919;pressure=4.095;pump=127;stage=4;
t=1655301843.4604573;temp=89.0;heater=3.713572836774185;scale=-0.029981765436000004;pressure=4.093;pump=127;stage=4;
t=1655301843.5068007;temp=88.9375;heater=3.713572836774185;scale=-0.029981765436000004;pressure=4.093;pump=127;stage=4;
t=1655301843.551678;temp=88.9375;heater=3.713572836774185;scale=-0.039312825087;pressure=4.093;pump=127;stage=4;
t=1655301843.6100993;temp=88.9375;heater=3.713572836774185;scale=-0.039312825087;pressure=4.095;pump=127;stage=4;
t=1655301843.6563096;temp=88.9375;heater=3.713572836774185;scale=-0.026769433425000003;pressure=4.095;pump=127;stage=4;
t=1655301843.7029662;temp=88.9375;heater=3.713572836774185;scale=-0.026769433425000003;pressure=4.095;pump=127;stage=4;
t=1655301843.7585409;temp=88.9375;heater=3.713572836774185;scale=-0.027228337998000004;pressure=4.095;pump=127;stage=4;
t=1655301843.8058622;temp=88.9375;heater=3.713572836774185;scale=-0.027228337998000004;pressure=4.095;pump=127;stage=4;
t=1655301843.8508217;temp=88.9375;heater=3.713572836774185;scale=-0.028146147144000003;pressure=4.095;pump=127;stage=4;
t=1655301843.9104657;temp=88.875;heater=4.424804539952295;scale=-0.028146147144000003;pressure=4.08;pump=127;stage=4;
t=1655301843.9571116;temp=88.875;heater=4.424804539952295;scale=-0.027840210762000002;pressure=4.08;pump=127;stage=4;
t=1655301844.0024128;temp=88.875;heater=4.424804539952295;scale=-0.027840210762000002;pressure=4.08;pump=127;stage=4;
t=1655301844.0594711;temp=88.875;heater=4.424804539952295;scale=-0.034723779357;pressure=4.095;pump=127;stage=4;
t=1655301844.1050267;temp=88.875;heater=4.424804539952295;scale=-0.034723779357;pressure=4.095;pump=127;stage=4;
t=1655301844.1510632;temp=88.9375;heater=4.424804539952295;scale=-0.039159856896;pressure=4.095;pump=127;stage=4;
